commonName,manufacturerAbbrev,impulseClass,type,diameter,length,totalWeightG,propWeightG,propInfo,avgThrustN,maxThrustN,burnTimeS,totImpulseNs,certOrg,availability,source_url
M520,Cesaroni,M,reload,98,548,6693,3658,Classic,542,1184,13.81,7441,Canadian Association of Rocketry,regular,http://www.thrustcurve.org/motors/Cesaroni/7400M520-P/
M711,Contrail,M,hybrid,75,1371,4900,727,,762.4,1872,7.22,5507,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Contrail/M711-BS/
M900,RATT,M,hybrid,64,1828,3288,3288,,900,1945,12.3,6463,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/RATT/M900/
M1000,Hypertek,M,hybrid,98,1405,8907,4236,,1000,,9.155,9155,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Hypertek/4630CCRGM-M1000/
M1010,Hypertek,M,hybrid,98,1405,9000,4301,,1010,,9.024,9114,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Hypertek/4630CCRGMFX-M1010FX/
M1297,AeroTech,M,reload,75,665,4637,2722,White Lightning,1297,2049,4.17,5417,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/M1297W/
M1315,AeroTech,M,reload,75,801,5645,3499,White Lightning,1248,2362,5.4,6714,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/M1315W/
M1400,Cesaroni,M,reload,75,757,5302,2992,Classic,1398,2292,4.47,6251,Canadian Association of Rocketry,regular,http://www.thrustcurve.org/motors/Cesaroni/6251M1400-P/
M1419,AeroTech,M,reload,98,579,6916,4077,White Lightning,1419,1591,7.1,7756,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/M1419W/
M1550,AeroTech,M,reload,75,801,5645,3170,Redline,1550,2180,3,5600,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/M1550R/
M1575,Contrail,M,hybrid,98,1524,10680,2210,,1556,2965,4.2,6547,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Contrail/M1575-BG/
M1600,AeroTech,M,reload,98,579,6917,4026,Redline,1600,1917,4,7084,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/M1600R/
M1882,Loki,M,reload,76,787,5534,3130,Loki White,1882,2860,3,6303,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Loki/M1882-LW/
M1939,AeroTech,M,reload,98,732,8988,5719,White Lightning,1939,2430,6.2,10480,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/M1939W/
M2000,AeroTech,M,reload,98,732,8987,5368,Redline,2000,2327,4,9218,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/M2000R/
M2281,Contrail,M,hybrid,75,1524,5579,1306,,2552,6040,2.14,5482,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Contrail/M2281-BF/
M2400,AeroTech,M,reload,98,597,6451,3693,Blue Thunder,2400,3402,3.2,7717,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/M2400T/
M2500,AeroTech,M,reload,98,751,8064,4711,Blue Thunder,2500,3711,3.85,9671,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/M2500T/
M2505,Cesaroni,M,reload,98,579,6250,3339,White Thunder,2491,2953,3,7450,Canadian Association of Rocketry,regular,http://www.thrustcurve.org/motors/Cesaroni/7450M2505-P/
M2700,Contrail,M,hybrid,98,1524,10430,1730,,2645,5484,2.3,6034,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Contrail/M2700-BS/
M2800,Contrail,M,hybrid,98,1524,10700,2210,,2570,4964,2.3,6060,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Contrail/M2800-BG/
N2000,AeroTech,N,reload,98,1046,12280,7753,White Lightning,2000,3141,6.9,13350,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/N2000W/
N2500,Cesaroni,N,reload,98,1010,11670,6778,Classic,2562,3876,5.38,13770,Canadian Association of Rocketry,regular,http://www.thrustcurve.org/motors/Cesaroni/13766N2500-P/
O6300,Contrail,O,hybrid,152,1829,28580,5216,,6354,12730,4.29,27240,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Contrail/O6300-BS/
M1850,AeroTech,M,reload,75,923,6032,4122,White Lightning,1910,4489,4.01,7659,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/M1850W/
M650,AeroTech,M,reload,75,801,5125,3351,White Lightning,656,1475,9.13,5964,National Association of Rocketry,regular,http://www.thrustcurve.org/motors/AeroTech/M650W/
M750,AeroTech,M,reload,98,732,8776,5540,White Lightning,744,1454,12.65,9325,National Association of Rocketry,regular,http://www.thrustcurve.org/motors/AeroTech/M750W/
M795,Cesaroni,M,reload,98,702,8492,4892,Classic,794,794,12.76,10130,Canadian Association of Rocketry,regular,http://www.thrustcurve.org/motors/Cesaroni/10133M795-P/
M1060,Cesaroni,M,reload,98,548,6673,3622,Classic,1057,1495,7.23,7441,Canadian Association of Rocketry,regular,http://www.thrustcurve.org/motors/Cesaroni/7441M1060-P/
M1450,Cesaroni,M,reload,98,702,8578,4830,Classic,1456,2416,6.87,9955,Canadian Association of Rocketry,regular,http://www.thrustcurve.org/motors/Cesaroni/9955M1450-P/
N1100,Cesaroni,N,reload,98,1046,11590,6790,Classic,1120,1120,12.49,14010,Canadian Association of Rocketry,regular,http://www.thrustcurve.org/motors/Cesaroni/14005N1100-P/
M1491,Contrail,M,hybrid,76,1372,4876,664,,1693,5706,3.35,5676,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Contrail/M1491-BM/
M2100,AeroTech,M,reload,98,598,6918,3948,Mojave Green,2100,,3.7,7802,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/M2100G/
O8000,Cesaroni,O,reload,161,957,32670,18610,White Thunder,8035,8605,5.1,40960,Canadian Association of Rocketry,regular,http://www.thrustcurve.org/motors/Cesaroni/40960O8000-P/
O5800,Cesaroni,O,reload,161,754,26370,13950,White Thunder,5787,6339,5.23,30610,Canadian Association of Rocketry,regular,http://www.thrustcurve.org/motors/Cesaroni/30600O5800-P/
M4770,Cesaroni,M,reload,98,548,6503,3579,Vmax,4770,6053,1.53,7312,Canadian Association of Rocketry,regular,http://www.thrustcurve.org/motors/Cesaroni/7312M4770-P/
M1890,Cesaroni,M,reload,98,702,8823,5280,Red Lightning,1889,2402,5.25,9876,Canadian Association of Rocketry,regular,http://www.thrustcurve.org/motors/Cesaroni/9876M1890-P/
N3180,Cesaroni,N,reload,98,1010,12200,7460,Red Lightning,3179,3770,4.47,14200,Canadian Association of Rocketry,regular,http://www.thrustcurve.org/motors/Cesaroni/14200N3180-P/
M1800,AeroTech,M,reload,98,751,9162,5599,Black Max,1833,3956,4.5,8208,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/M1800FJ/
M1500,AeroTech,M,reload,75,681,4896,2631,Mojave Green,1509,,3.46,5220,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/M1500G/
M2550,Loki,M,reload,76,785,5530,3130,Loki Blue,2550,,2.5,6502,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Loki/M2550-LB/
N1000,AeroTech,N,reload,98,1046,12770,8293,White Lightning,1079,2262,13.05,14130,National Association of Rocketry,regular,http://www.thrustcurve.org/motors/AeroTech/N1000W/
O4900,Cesaroni,O,reload,161,957,32650,17700,Blue Streak,4891,5587,7.6,37150,Canadian Association of Rocketry,regular,http://www.thrustcurve.org/motors/Cesaroni/37148O4900-P/
M1670,Cesaroni,M,reload,75,757,5231,2130,Blue Streak,1668,2232,3.63,6042,Canadian Association of Rocketry,regular,http://www.thrustcurve.org/motors/Cesaroni/6026M1670-P/
M1540,Cesaroni,M,reload,75,757,5906,3624,Imax,1537,2329,4.44,6819,Canadian Association of Rocketry,regular,http://www.thrustcurve.org/motors/Cesaroni/6819M1540-P/
M1810,Cesaroni,M,reload,75,757,5416,3196,Red Lightning,1811,2159,3.39,6132,Canadian Association of Rocketry,regular,http://www.thrustcurve.org/motors/Cesaroni/6128M1810-P/
M1200,Loki,M,reload,76,785,5368,2968,Spitfire,1242,1550,4.485,5123,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Loki/M1200-SF/
M1770,Cesaroni,M,reload,75,893,5993,3520,Skidmark,1777,2195,3.34,5933,Canadian Association of Rocketry,regular,http://www.thrustcurve.org/motors/Cesaroni/5933M1770-P/
M1300,Cesaroni,M,reload,75,757,5657,3437,Imax/Dual Thrust,1304,2827,4.94,6738,Canadian Association of Rocketry,regular,http://www.thrustcurve.org/motors/Cesaroni/6438M1300-P/
N4100,Cesaroni,N,reload,98,1239,14750,9101,Red Lightning,4127,4797,4.31,17790,Canadian Association of Rocketry,regular,http://www.thrustcurve.org/motors/Cesaroni/17790N4100-P/
M1630,AMW,M,reload,75,1039,7237,3948,Tamed Tiger,1633,6805,5.03,8212,Canadian Association of Rocketry,regular,http://www.thrustcurve.org/motors/AMW/8212M1630-P/
M900,Loki,M,reload,76,785,5530,3130,Loki Red,920,1060,6,5477,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Loki/M900-LR/
M3000,Loki,M,reload,76,1038,7160,4350,Loki White,2946,4780,3,8838,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Loki/M3000-LW/
